Plate,VIN,Year,Make,Model,Category,UserDNI
7625HRX,WDBX07JD4DT4D8J6T,2013,Mercedes-Benz,Clase A,urbano,99259605-T
1586HVZ,WAUEG1ZH0E8XH4XZM,2014,Audi,A3,berlina,25978764-B
7633GYX,VSS0H2309A5F8VCED,2010,Seat,Ibiza,urbano,25978764-B
3703DXZ,JT2RJMC566MHU1H6G,2006,Toyota,Corolla,berlina,25978764-B
8213JKK,VF1HDPYL6FKDL31U9,2015,Renault,Mégane,berlina,45894048-D
5758HTV,WF0S14LM1DPS1AYDP,2013,Ford,Focus,berlina,36209489-Z
9199LTD,VSSVU1S13M9PC7HTF,2021,Seat,Ateca,SUV,46275836-C
0293KFW,VF7MZTA58HR8A4AVF,2017,Citroën,C4,berlina,92190033-F
6245NDG,JT2DA3MX7STEEJ36T,2025,Toyota,RAV4,SUV,12657720-S
8522KVB,WF04WEL25KWX56JY3,2019,Ford,Fiesta,urbano,12657720-S
6359FNB,WVWN0YHK47KR7F6WD,2007,Volkswagen,Golf,urbano,93982006-G
9335KHG,VF1EN6EX7JDZP0CHA,2018,Renault,Scénic,monovolumen,93982006-G
3556DRG,JT2FSWYA95MTJBHHG,2005,Toyota,Corolla,berlina,45903576-S
3064JMY,VF3XA46Z9G0GNA169,2016,Peugeot,308,berlina,45903576-S
5666NFR,VSST49G40SPJ5F07L,2025,Seat,León,berlina,66297417-D
3077MJR,WBA29TRD5PS878036,2023,BMW,Serie 3,berlina,66297417-D
0391KDK,WDBNE40Y3H6HCM35A,2017,Mercedes-Benz,Clase A,urbano,66297417-D
9792HNK,VF1EGPNT6CB21HG9P,2012,Renault,Scénic,monovolumen,24855239-J
9401HMD,WDBKUJG41CUC2EF1Y,2012,Mercedes-Benz,Clase C,berlina,24002433-R
4964GBN,VF10P1UN58VG1SNRH,2008,Renault,Mégane,berlina,69841985-R
2525GYD,JT294UVF5A910ZKB2,2010,Toyota,Yaris,urbano,68890786-J
4348CMM,JT27PPA1X3U190AGL,2003,Toyota,Yaris,urbano,68890786-J
8766LKV,VSSBLCYD7LUKKEN3Z,2020,Seat,León,berlina,73821915-B
4384KBM,VSSA2EF19HFTZ06R6,2017,Seat,Ibiza,urbano,22515261-D
8908HJC,VF39DWF94CJY93GVJ,2012,Peugeot,308,berlina,22515261-D
4467JHJ,VF3CKMNF9FK88D24J,2015,Peugeot,3008,SUV,66754123-G
4011HPC,WDB98C5G0DZNTTMC3,2013,Mercedes-Benz,GLA,SUV,27486847-F
9318BFJ,VF71N2WX51AMRNEAR,2001,Citroën,C4,berlina,71535448-C
6958HML,WAU36H7X9C37KFBET,2012,Audi,TT,deportivo,71535448-C
4411FGF,VF32A7L9260RCTE35,2006,Peugeot,208,urbano,74182566-E
0154FKY,WAUW6PDM97A4J395T,2007,Audi,A4,berlina,74182566-E
0310LZP,VF1FG9UY6NY2WATGN,2022,Renault,Clio,urbano,38072200-R
1983GYX,VF3K0GUDXA52VT5RG,2010,Peugeot,5008,monovolumen,38072200-R
7995JRG,WDBES5CD1GT2FSXAG,2016,Mercedes-Benz,GLA,SUV,38072200-R
1405KDK,VF1BJMXT9H4L80WJK,2017,Renault,Mégane,berlina,94113519-A
0989HNC,VF370PKP2CMAJ78L8,2012,Peugeot,3008,SUV,66677838-X
2581KFW,JT20W3R15HP7V9WKU,2017,Toyota,Yaris,urbano,66677838-X
7928FSJ,WBAJLSXC17EC9AW1T,2007,BMW,Serie 3,berlina,58556491-D
5317HDC,VF3WUGFY6BETRGLR5,2011,Peugeot,308,berlina,58556491-D
1718DVB,WAUUBMTY75NMPRBNB,2005,Audi,A3,berlina,46484522-G
9217KFW,VF7B310C0HMFGHUNU,2017,Citroën,Berlingo,monovolumen,46484522-G
1994HZZ,VF79EKB2XEE7BNEC7,2014,Citroën,C5 Aircross,SUV,78367556-R
9187KBM,JT2WHW7H7H9M53NV2,2017,Toyota,Corolla,berlina,78367556-R
6844KRJ,WF0LZRNC3JS3KMW3K,2018,Ford,Kuga,SUV,76731059-T
8592NCJ,VF7DPK6J6SYC58JZW,2025,Citroën,C4,berlina,88075508-K
9478HYD,WF0BAP933E4KHHXLK,2014,Ford,Kuga,SUV,88075508-K
9191HSR,WVWMGXH46DLVMBFVZ,2013,Volkswagen,Passat,berlina,32116590-B
6069LLJ,VSS5VY157LR9SSUSP,2020,Seat,León,berlina,32116590-B
9281GLP,VF3N9U81493RCWURJ,2009,Peugeot,308,berlina,16210553-S
3114JLN,VF7JHTDB2G0XZ29SN,2016,Citroën,C5 Aircross,SUV,16210553-S
3173KSS,JT2UKEB02JEZ711CN,2018,Toyota,RAV4,SUV,55261638-K
6492HDR,WVWC25F11B07MHZL2,2011,Volkswagen,Polo,urbano,55261638-K
3217GTC,WAUX0LC02A3FHT7P8,2010,Audi,A4,berlina,99117166-T
9103DMJ,WF00WKY7457K1BN1J,2005,Ford,Kuga,SUV,92054158-Q
7246FNZ,VF7HDJSS07W1GRMJP,2007,Citroën,C4,berlina,61437370-T
1059KTJ,WVW9SLE90KR0C0M0R,2019,Volkswagen,Tiguan,SUV,71767527-Y
0601GLC,JT2KRAWP49SBUFWT4,2009,Toyota,RAV4,SUV,36819995-P
2158DHZ,WBARS49E35915YNM3,2005,BMW,Serie 1,urbano,59341811-V
3393DKB,WDBBXWW145BFG382B,2005,Mercedes-Benz,Clase C,berlina,43797732-M
8170JJH,WDBF90NY6FMH4B1VS,2015,Mercedes-Benz,Clase A,urbano,75275137-R
1911HTV,WAU8CH1U9DJB62E9V,2013,Audi,TT,deportivo,87583950-L
3064JHJ,VF14P9PP2FW4ZV97N,2015,Renault,Mégane,berlina,87583950-L
1614MDS,JT2SFW62XPTD27MH9,2023,Toyota,Corolla,berlina,81018001-H
4893GYD,JT20NLFMXAX44US00,2010,Toyota,Yaris,urbano,81018001-H
1349HNT,VF3AE3SE0DVVW4L7E,2013,Peugeot,208,urbano,47028617-B
8679FCJ,VF3937HC86ZWEMLHH,2006,Peugeot,208,urbano,73128075-N
2054MCB,VF7SGMFH9NX9XAS4D,2022,Citroën,C4,berlina,73128075-N
5733JRG,JT2NE2LG8GC8X4LMX,2016,Toyota,Corolla,berlina,39789987-X
4577FGF,WDBZEV2J16GJULNFE,2006,Mercedes-Benz,Clase C,berlina,39789987-X
6162HKB,VF17ACK64C1XXGAXT,2012,Renault,Scénic,monovolumen,95826575-L
4540KHY,VF3JNCZH4JBNA45C9,2018,Peugeot,3008,SUV,66362346-D
3640FLV,VF3B5GP887V98R747,2007,Peugeot,5008,monovolumen,89710159-Q
4178JFG,JT2L3F4W5FSBL3R9S,2015,Toyota,RAV4,SUV,85107196-C
0715MJR,WAU8HZ3EXPC7ECL5T,2023,Audi,Q5,SUV,91275736-Y
6035KHG,VF78KE4P6JUF8FZ99,2018,Citroën,Berlingo,monovolumen,21677473-L
6553HFF,VF3DD83A2BZY3UP8A,2011,Peugeot,208,urbano,78738373-N
1879HTK,WDB9WK122DKNGAPY3,2013,Mercedes-Benz,Clase A,urbano,52970425-E
8147DYY,WDBPELU696KJXA8F2,2006,Mercedes-Benz,Clase C,berlina,52970425-E
4935HWM,WAUPLH575ERYGWEBC,2014,Audi,A3,berlina,53287700-N
4928HFT,VF3CUUNF6B3RMZXKE,2011,Peugeot,208,urbano,53287700-N
6171LML,WF0J5B4M4ML5N9HLG,2021,Ford,Kuga,SUV,77593060-F
0003KRJ,WF02U19H3JH5M9NNS,2018,Ford,Focus,berlina,58795398-S
4349JXF,VF36Y4XR2HMMPWZJ2,2017,Peugeot,5008,monovolumen,58795398-S
2306CGJ,VSS56V7L73LENNFTR,2003,Seat,Toledo,sedán,65538656-H
6469HVZ,WAU9H4T25EY5W1868,2014,Audi,TT,deportivo,48943490-L
3261HJC,WF0431007CZC3RBA8,2012,Ford,Mustang,deportivo,31992476-M
4190JCK,VSSEK1W41FE6AY17X,2015,Seat,Ateca,SUV,71576364-L
4912MSS,JT2GUSM65R8NWU62Y,2024,Toyota,Corolla,berlina,71576364-L
2011JTB,VF79T5V34G7N3BDYX,2016,Citroën,C3,urbano,71576364-L
5899LKF,VF35TF9B4LG7CCT30,2020,Peugeot,208,urbano,29296007-X
2194HSR,JT2RY28S1DLKNCGSU,2013,Toyota,Yaris,urbano,13920484-X
3165DMJ,WBAA31FX757ZHCLDX,2005,BMW,X5,SUV,13920484-X
6867CPF,VF1CBJZC5376GZVT9,2003,Renault,Clio,urbano,13920484-X
1470LJD,VF3Z903B0LHSLTUAH,2020,Peugeot,3008,SUV,87382846-G
9219GWC,WF0HB4H08A5VHHU1W,2010,Ford,Fiesta,urbano,82351413-M
6728HVZ,WF0HWT5R7EXWZR01V,2014,Ford,Fiesta,urbano,24124928-K
2744BCY,WBA91PR22Y659X1EN,2000,BMW,X5,SUV,20735361-X
0451JYB,WVWMAUZZ2HRY1XZDN,2017,Volkswagen,Golf,urbano,34777968-J
5561JMF,WAUPR0H67GD1RRAZZ,2016,Audi,A4,berlina,34777968-J
0247KHY,VF3AFHNE7JAXXM1LZ,2018,Peugeot,208,urbano,34777968-J
2970HZZ,VF36JTNZ6EN9K75SK,2014,Peugeot,308,berlina,73539572-Q
8054LCG,WBAUKC1B9K1JUVZUF,2019,BMW,X5,SUV,79190932-T
4707HNK,WF08FG456C60M352P,2012,Ford,Mustang,deportivo,79190932-T
1214GHG,WF0PK6SYX8GEDP33V,2008,Ford,Kuga,SUV,79118220-Z
9747KKR,WBA1SWFZ2JVZKL5A3,2018,BMW,Serie 5,berlina,79118220-Z
9429BZV,VSSSTYGW321TL7RLX,2002,Seat,Toledo,sedán,24211058-Q
1076JRG,WF0K4KWH8GTDLKMCS,2016,Ford,Fiesta,urbano,24211058-Q
1113BBJ,WDBHJ6E9XY7LMWWUM,2000,Mercedes-Benz,Clase C,berlina,44959129-V
1001CKB,WF0LHZJ993THRKPJG,2003,Ford,Focus,berlina,54922886-J
3329GGV,VF1Y2YBX18SCMEBG1,2008,Renault,Captur,SUV,61589379-W
2094JLN,WDB8ZR79XG2R9N1W3,2016,Mercedes-Benz,Clase A,urbano,61589379-W
8784JFX,VF1K207HXF6E9ZRKC,2015,Renault,Captur,SUV,48130770-G
8949LFY,WF08Z0DF7LSC93RMS,2020,Ford,Kuga,SUV,48130770-G
6756JPK,JT23EH25XGYZK8V1S,2016,Toyota,Corolla,berlina,47246785-R
4860JFG,VF1CV2JA9F01V4B8Z,2015,Renault,Mégane,berlina,47246785-R
5563LTD,WDB6VBXT0MH7GBMW1,2021,Mercedes-Benz,Clase C,berlina,55722544-F
8414GHG,VF7JFMY518E3V7GHR,2008,Citroën,C5 Aircross,SUV,79598595-B
6237MLY,JT27E3AF3PH7YDME1,2023,Toyota,Corolla,berlina,81723235-A
6482HJC,WBA336FS4C88MV52X,2012,BMW,X5,SUV,81723235-A
6874FXY,VF7UHP7Z87SLZ8PHC,2007,Citroën,C5 Aircross,SUV,81723235-A
8775FKY,VF7DMRR887EVD4S1D,2007,Citroën,Berlingo,monovolumen,43061981-R
1962GYD,JT2WX00E5AXDR9VPP,2010,Toyota,RAV4,SUV,19175301-V
1230JSL,VF176DPB3GTVJFJ0C,2016,Renault,Clio,urbano,12022688-J
3951GYD,WAULHK5P7AXBBTP5K,2010,Audi,TT,deportivo,37449107-R
4253CCH,VF34XMBA927YXU5TD,2002,Peugeot,208,urbano,37449107-R
4825HFF,VF7VHHSV4BD8L8S3Z,2011,Citroën,C4,berlina,37449107-R
3831MGN,VF1PAFTV2P6GYRK7D,2023,Renault,Scénic,monovolumen,41393864-M
3101LJR,WDB1E0HUXLZPK7S0Z,2020,Mercedes-Benz,GLA,SUV,41393864-M
0190HGC,WBA4685Z2BHJUJ5DH,2011,BMW,Serie 1,urbano,74439244-C
9002JHT,VF3D9M6N2F6P8YJDF,2015,Peugeot,308,berlina,45430631-L
6575MDS,VF7N8C4X7PK5G9SF3,2023,Citroën,C4,berlina,45430631-L
2870JZP,WBA4BABC6HAU2WH1G,2017,BMW,X5,SUV,11484292-R
2205HSR,WBAH330S3DYRTMGLC,2013,BMW,Serie 3,berlina,47323070-H
9782GSR,WF0D1RV019YXLU78V,2009,Ford,Focus,berlina,26062102-C
8478BCY,JT2ZMK6V7YF6LYYWU,2000,Toyota,Corolla,berlina,21179261-X
4713HKX,VSS5J2X17C4F18D7Z,2012,Seat,Ibiza,urbano,21179261-X
4638HTV,JT23FLP04DB5H0UWR,2013,Toyota,Corolla,berlina,51353668-G
3681LPD,WBATTM1A2M4XX9KP2,2021,BMW,X5,SUV,51353668-G
6767GYX,WBAXH2EZ0ATLHK990,2010,BMW,X5,SUV,70187653-W
7926GTC,WAUA33L51A2J7KP01,2010,Audi,Q5,SUV,25019012-A
0489GRM,VF3JL1S609N4D6AUG,2009,Peugeot,308,berlina,25019012-A
2903KCH,WAUFTJEFXHCSDLWXS,2017,Audi,A4,berlina,85755946-D
1688GVM,WVWCK0XH8A8XKF72D,2010,Volkswagen,Polo,urbano,29783679-J
2256JJW,WDB1WE9G5FX2MK7RG,2015,Mercedes-Benz,GLA,SUV,33062404-L
7859JSL,VF7KUHP09GFS99WEF,2016,Citroën,C5 Aircross,SUV,40817343-W
5091HCB,WF07WZWS7BHZH34KW,2011,Ford,Mustang,deportivo,40817343-W
8041GKH,WAUGM00K68VAF9XU2,2008,Audi,TT,deportivo,40817343-W
4837GJJ,WF05U18P08XDL0FDH,2008,Ford,Fiesta,urbano,20492522-M
3505GJJ,WAUHVELJ18R3MRHVG,2008,Audi,Q5,SUV,61067475-Z
1570HCB,VF72HVUB4B0496B7G,2011,Citroën,C3,urbano,15730726-Z
8164KGN,WVWNVVJ8XHR38H939,2017,Volkswagen,Polo,urbano,15730726-Z
9202KGN,VF38PETG3HGPFCHSZ,2017,Peugeot,208,urbano,15730726-Z
0291HNK,WF021Z057CFMCWN65,2012,Ford,Kuga,SUV,67891401-R
4751KYN,WDB96ACGXKYEFVA0D,2019,Mercedes-Benz,GLA,SUV,82604774-K
9778KKR,VF1FEWUJ7JPJ8TSYB,2018,Renault,Clio,urbano,82604774-K
2436DRG,VF7A2YA8X51LTPYE5,2005,Citroën,C4,berlina,23794109-B
2100GNY,WBAS38XL29EGBMCX6,2009,BMW,Serie 3,berlina,81369745-T
3840GDH,JT2ZDXFS48S95WAUX,2008,Toyota,Corolla,berlina,81369745-T
5488GYX,WBAFBJBV3ALZKAARS,2010,BMW,X5,SUV,81369745-T
1262GYX,VF1Y8JHG6APP8JN1B,2010,Renault,Clio,urbano,33452278-C
1818HCB,VSSRU7RY0BNU69FSL,2011,Seat,Ateca,SUV,49722446-B
8234HLW,VSS94YXY9C6LLMC8J,2012,Seat,León,berlina,15451719-C
7551LXD,VF74WUPL4NXJP75UM,2022,Citroën,Berlingo,monovolumen,15451719-C
0499JGR,WVWVJB7E3FTST4AEA,2015,Volkswagen,Polo,urbano,15451719-C
1600JBL,WF06L3UN7EWA1DTPS,2014,Ford,Mustang,deportivo,35565584-V
3667LKV,WDBCX5WY7L5KVPW4Y,2020,Mercedes-Benz,Clase C,berlina,32873332-F
7237HYT,JT2P0ZGK0E677Y8HA,2014,Toyota,Corolla,berlina,32873332-F
2642JKZ,VF11YCEJXFKXSPUWT,2015,Renault,Mégane,berlina,32873332-F
2400KHY,VSSX2SB53JAYL8WDK,2018,Seat,León,berlina,64934414-D
5338GMN,VF3LK77229XP61W2X,2009,Peugeot,5008,monovolumen,64934414-D
4895JMF,VF3JVGJ02GK0FTPTM,2016,Peugeot,208,urbano,64934414-D
3169NFC,VF1X5B7U0SLDRPA6N,2025,Renault,Scénic,monovolumen,38347322-C
4487LJR,WAU1EHUL9L4RAVP3N,2020,Audi,A3,berlina,38347322-C
6205HKB,JT2E4DYU5C90TM4RY,2012,Toyota,RAV4,SUV,15895679-B
8066CJC,WVW1U7PC93VNX6CCM,2003,Volkswagen,Polo,urbano,15895679-B
3361FXY,WDBY0UPS57VH5T34R,2007,Mercedes-Benz,Clase A,urbano,31733492-R
8653HNT,VF37SCHS7DR0H0HJ8,2013,Peugeot,5008,monovolumen,31733492-R
3807DYY,WDB66GC586TWBGREY,2006,Mercedes-Benz,Clase A,urbano,91557685-K
8351NDG,VF3YLR2D0SDF2G6YZ,2025,Peugeot,3008,SUV,36694231-P
9275HTK,WDB4A5ZEXD8FU74TE,2013,Mercedes-Benz,Clase A,urbano,36694231-P
9905CYY,WDBR4CWP446HVSMJ8,2004,Mercedes-Benz,GLA,SUV,50527260-D
8012JHJ,WAUFZJWJ3FMN0GM89,2015,Audi,A3,berlina,50527260-D
1033HNK,WBAY5UNH2CCZ8A6LG,2012,BMW,Serie 5,berlina,50527260-D
5523KKR,VSS98JBJ1JA51XU2F,2018,Seat,Ibiza,urbano,60575919-Z
5194HML,VF3UCAK90CM1VWAK1,2012,Peugeot,3008,SUV,36056473-V
7238LBN,WBAHRUN51KRB1G8TY,2019,BMW,Serie 1,urbano,36056473-V
7092HKL,WBALMD4K7CDJZVH78,2012,BMW,X5,SUV,42466210-E
0604JRG,WVWUYLJA1GDYNCF4R,2016,Volkswagen,Tiguan,SUV,68777091-F
6676LLJ,VF1B9JDHXLFNHPBSN,2020,Renault,Mégane,berlina,52071275-B
6191JMY,VF7YYZHT2G1KH5T3H,2016,Citroën,C3,urbano,71735471-N
2155JDR,WF0PYHMJ3F36T1F81,2015,Ford,Kuga,SUV,71735471-N
9079JYB,WBA6K3C18HVW8H3R0,2017,BMW,Serie 5,berlina,44906263-M
6770MGN,WAUVAHXA7PGG181X5,2023,Audi,Q5,SUV,44906263-M
7968GKH,VF7X4CF788HEXNXV4,2008,Citroën,Berlingo,monovolumen,81416614-H
9527HPN,WBATSY696DJUBALA4,2013,BMW,Serie 3,berlina,81416614-H
5240KFW,VSSJRTEE4H8LR64RT,2017,Seat,Ateca,SUV,65705401-J
8804DXZ,VSSZWV7W86VWD13P4,2006,Seat,Ateca,SUV,53515995-D
8823LZZ,WF0PS21T2NBD3VHNC,2022,Ford,Mustang,deportivo,53515995-D
1351HCR,WBA95BKD6BADMZB02,2011,BMW,X5,SUV,40369139-E
6566HCR,WDBZTH6P5BDV4J9FD,2011,Mercedes-Benz,GLA,SUV,79499833-B
5360KPS,WVWTT9222J04VW60J,2018,Volkswagen,Tiguan,SUV,60419122-P
6350GMC,VF3L87YF09ZX5BXEA,2009,Peugeot,308,berlina,74161036-C
5506GWC,VF3BHDNH6AKA11G16,2010,Peugeot,208,urbano,11415702-C
8497HYD,WBAWFYV47ESU00PN2,2014,BMW,Serie 3,berlina,11415702-C
1587NBL,WAUUH95Z9S5N6YPYS,2025,Audi,A4,berlina,13222857-L
8194GKH,VSSSDZ9U889G2GJHG,2008,Seat,Ibiza,urbano,24607910-A
1353HNK,WF03GTUJXCBHDMRUH,2012,Ford,Fiesta,urbano,13415184-C
6590LXS,WVWB27T85N4938P4D,2022,Volkswagen,Tiguan,SUV,13415184-C
1184KSS,JT2FMPE75JYXHY9HX,2018,Toyota,Yaris,urbano,86766671-E
4381JBL,WBA45T3C9EPACVEAV,2014,BMW,X5,SUV,86766671-E
3377LKF,VF1THFTG1L9B1UT8M,2020,Renault,Mégane,berlina,40156099-P
4008MRD,WAUWT2EA6RT42UHN2,2024,Audi,A4,berlina,40156099-P
9694BMF,VF1T665L01ANHRX6A,2001,Renault,Captur,SUV,78017534-Q
8198KYN,WVW1RFFT7KD53DJ9M,2019,Volkswagen,Passat,berlina,78017534-Q
1119GZJ,JT2CL5M32AYXK1P8P,2010,Toyota,Corolla,berlina,90487608-L
6709HSR,WVWADX5P2DA0VUT8C,2013,Volkswagen,Passat,berlina,91374746-R
9768HSK,VF7AA6CM5DG1DGMJX,2013,Citroën,Berlingo,monovolumen,66184441-D
6588HCR,WBAGKB8E9BHT16L2C,2011,BMW,Serie 5,berlina,66184441-D
4566LCG,WBAC1V906K0SSSNHN,2019,BMW,Serie 1,urbano,27825239-T
2324DKB,WF0MGVPB05RMKJS9L,2005,Ford,Focus,berlina,63154507-A
5171KGN,WBATCLUK0HAJAX7FA,2017,BMW,Serie 5,berlina,63154507-A
5879HGX,VF3AJY3D5BR7K6NH1,2011,Peugeot,3008,SUV,27868315-C
0468HZL,WAUYF9ZN1EEHZJNWR,2014,Audi,A3,berlina,24780879-N
5970HVN,VF1Z3L2G0EYD699C1,2014,Renault,Mégane,berlina,40222458-N
8404KVX,WBAZVNMF8K2WTUWNN,2019,BMW,X5,SUV,27728162-Y
2324FLV,VF73ZW0U17RW9XLKG,2007,Citroën,C4,berlina,27728162-Y
3137BJC,WF0GHXMF01PUN2KX8,2001,Ford,Fiesta,urbano,39278192-B
8505JDR,WF02F22S0FVTFJR67,2015,Ford,Mustang,deportivo,99750094-Z
1439BJC,VF37773WX16S125KB,2001,Peugeot,5008,monovolumen,87074286-N
2883FVJ,VSSZKHGW17RRYXF1A,2007,Seat,Ateca,SUV,76115628-A
4476HML,WVWJT6KF1C2CVTMSD,2012,Volkswagen,Golf,urbano,93207903-N
5213FJD,VF1RW59146L82T9GW,2006,Renault,Scénic,monovolumen,39585682-Z
0292JBL,WDBMYXV01E8HTF3UK,2014,Mercedes-Benz,Clase C,berlina,48182677-T
2564MJR,WF04EHD39PW2K7557,2023,Ford,Mustang,deportivo,29360794-Y
6993DDG,VF72C7UP64W93LWKY,2004,Citroën,C5 Aircross,SUV,36920506-D
2232LCG,VF1TV1R21K8AYNVBM,2019,Renault,Scénic,monovolumen,36920506-D
7039MCB,VSSPZKYD4N7F0E8AM,2022,Seat,León,berlina,54104372-T
2219HHH,VSSE32FA4BH1XW3XM,2011,Seat,Toledo,sedán,50527010-N
3392KNK,JT2KP9YS2J8UY8BJE,2018,Toyota,Yaris,urbano,27385830-Y
3288HVZ,WDB0NDBZ3EUYZ3XFY,2014,Mercedes-Benz,Clase A,urbano,18458349-K
0133NDG,VF7HM1TG3SVWWAB3T,2025,Citroën,C4,berlina,18458349-K
7440JNR,WVWJPAWW7GUAGA9DE,2016,Volkswagen,Passat,berlina,82306782-V
7620HPC,VF3JSRUC6DLVBC0SL,2013,Peugeot,208,urbano,68076938-C
8402GVM,WAU3W4A53AJALXLAL,2010,Audi,A4,berlina,68076938-C
9007HBP,JT2D8YBC3BNK17RUN,2011,Toyota,RAV4,SUV,65128593-E
0070GZT,VF7N3HBD3AHN1LN81,2010,Citroën,C5 Aircross,SUV,84077808-C
3980FVJ,WAUT40AF17KTEVPEM,2007,Audi,Q5,SUV,84077808-C
3486HZB,WBA9V8RM8EGEHVR3G,2014,BMW,X5,SUV,72831150-V
6184MJB,WAURM7JH7PYEWXNSF,2023,Audi,TT,deportivo,59730053-L
9005JLN,WAU1DBW99GYUJARG0,2016,Audi,TT,deportivo,59730053-L
7147MJR,VSSXSS7G0PV0MGRDG,2023,Seat,Toledo,sedán,15364813-P
7230HSK,WVW0G2K64D2X5BZCL,2013,Volkswagen,Passat,berlina,15364813-P
3895LPW,WAUGZASJ0M7YAK5DH,2021,Audi,TT,deportivo,24722263-T
2438JRG,WBAUTZ3W2G72V2FZH,2016,BMW,Serie 3,berlina,30949182-Z
0604FYY,WAU7XZBFX7KENMM80,2007,Audi,TT,deportivo,30949182-Z
9773MTW,VF79RC7Z5RYVF0TN9,2024,Citroën,Berlingo,monovolumen,53618873-P
2718GWV,WF008S379AKRWEKMP,2010,Ford,Mustang,deportivo,53618873-P
7008KRJ,WDBYEETEXJ4U27CE3,2018,Mercedes-Benz,GLA,SUV,51947739-P
5397KXR,VF1ECDETXK8FD2U2A,2019,Renault,Mégane,berlina,41137338-K
0671FKY,WBAFX61S67ZLDMHVW,2007,BMW,X5,SUV,62280384-H
7008JNR,WVW9UYB89GX2PJWSD,2016,Volkswagen,Polo,urbano,41130198-B
7238GTC,VSSJ38NC0AAAACYYY,2010,Seat,Ibiza,urbano,72755953-F
5031JRZ,WAU5NY9H3GRCXB4VB,2016,Audi,A4,berlina,69201503-T
4207NBL,VF306GGN9S2LPUTAT,2025,Peugeot,308,berlina,81652255-R
6221KCH,WDBBGBPL9HUJSLFHW,2017,Mercedes-Benz,GLA,SUV,15392722-H
0780BTZ,WDBGSR86X27CG6R3X,2002,Mercedes-Benz,Clase C,berlina,91453343-F
2877HZZ,JT26GRYC1EH0PGSNX,2014,Toyota,Corolla,berlina,16048288-S
5135LCY,WDB5R8SN4K4A94ALW,2019,Mercedes-Benz,Clase A,urbano,39996828-N
8832MDF,WF065WXU2NYLTTCH8,2022,Ford,Fiesta,urbano,93045566-D
0775HNT,VF3BBZSF5D0Z5Z696,2013,Peugeot,5008,monovolumen,93045566-D
2673HFT,WDBV88T75BJLNG26X,2011,Mercedes-Benz,GLA,SUV,59619118-J
0368HTK,JT29AD4V6DC4PUJL9,2013,Toyota,Corolla,berlina,59619118-J
2101JLN,VF78Y8WJ4GWFSLZL2,2016,Citroën,C5 Aircross,SUV,27676568-R
4323DHZ,VF7AALH6258AMS5NR,2005,Citroën,C5 Aircross,SUV,27676568-R
0252LZZ,JT2VAXGF8NDL8VSDW,2022,Toyota,Yaris,urbano,70445136-T
5034LJR,WF0ARHSV7LW6J0BYS,2020,Ford,Mustang,deportivo,51188006-B
0999FNZ,WDBUJ6TX17MZN3S81,2007,Mercedes-Benz,Clase A,urbano,97049284-W
6657MWV,WVW069MP0R8GJ6PPF,2024,Volkswagen,Polo,urbano,55543325-G
1747HFT,WAU2NAGW2B93WT2B0,2011,Audi,Q5,SUV,45353318-D
2516NCJ,WVW3YYL92SMWVXEXA,2025,Volkswagen,Polo,urbano,46089433-D
4861LTD,VF3WARJH4ME1Z6AHV,2021,Peugeot,5008,monovolumen,85828018-E
3845MWV,WDBZ7XDP5RM0N07YF,2024,Mercedes-Benz,Clase C,berlina,85828018-E
4603KVX,JT217Z2C5KV77DW1Z,2019,Toyota,RAV4,SUV,70633889-S
4242HGM,WVWUPC969BHAY3H29,2011,Volkswagen,Polo,urbano,70633889-S
1279JBY,VF3EPE3L1ELFBVG4A,2014,Peugeot,3008,SUV,70633889-S
3826LCY,WAUSU03SXKU0LS6VD,2019,Audi,Q5,SUV,90746677-Q
5775HJC,VF77K2FW7CVZ9XZD4,2012,Citroën,Berlingo,monovolumen,90746677-Q
0238JBL,VF71A4H01EA2S28A2,2014,Citroën,C5 Aircross,SUV,51414047-P
3414MNC,JT29V383XRRU723EX,2024,Toyota,Yaris,urbano,51414047-P
0049JYT,VF766CD58HHNTVAXB,2017,Citroën,C5 Aircross,SUV,51414047-P
0405JRG,WBAW95FG9GFU11WJP,2016,BMW,Serie 3,berlina,66711518-H
4375HKX,VF3JKRPN7CX8TBZ83,2012,Peugeot,208,urbano,66711518-H
6879LXS,JT2Z4Z1M4N36XKB00,2022,Toyota,Yaris,urbano,66711518-H
0795HFT,VF360RBW9BGS4S8BH,2011,Peugeot,208,urbano,98086817-M
3889KKR,WDB6UA6D2JWYTZ504,2018,Mercedes-Benz,Clase C,berlina,62689725-M
1568HHT,WVWWS5NH6B05KFLFX,2011,Volkswagen,Tiguan,SUV,19849671-G
7241GHG,VF76UF4N582GWBJMZ,2008,Citroën,C3,urbano,37313099-S
8989JDR,WF0SKXJ97FZPNX9VE,2015,Ford,Focus,berlina,92562132-N
8482MNC,WDBBWR740R135KXD2,2024,Mercedes-Benz,Clase A,urbano,58810705-G
8734BBJ,VF7ZN7N7XY6VY9CKM,2000,Citroën,C3,urbano,58810705-G
2582HYT,WDBWHU4K2E53D5MG2,2014,Mercedes-Benz,Clase C,berlina,58810705-G
3351LWR,VF3DTESE6NVLV0JHY,2022,Peugeot,308,berlina,66932780-C
3152BTZ,VF1F2U7U62E4K9W08,2002,Renault,Clio,urbano,66932780-C
5824LGP,VF3R0X545L58N3F41,2020,Peugeot,3008,SUV,66932780-C
